store_name,item_code,item_barcode,description,category,department,sub_department,section,quantity,total_sales,rrp,supplier,date_of_sale,unit_price,price_diff,z_score,is_outlier
FEDHA,421251,146117100,FD-RDL DE NIGRIS APPLE CIDER VINEGER 1L,FOODS,SEASONING & CONDIMENTS,SAUCES,VINEGAR,1.0,1177.586059570312,1491.55,ROSHNI DISTRIBUTORS LTD,2025-09-24,1177.586059570312,-313.9639404296879,-5.7140673921701355,True
FEDHA,440033,4219327862529,BID ELIANTO CORN OIL 3L,FOODS,COOKING OILS AND FATS,COOKING OIL,CORN OIL,1.0,1458.619995117188,1794.68,BIDCO AFRICA LIMITED,2025-09-25,1458.619995117188,-336.0600048828121,-6.116093018773563,True
FEDHA,440096,3217314823981,KAP RINA VEGETABLE OIL 3L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,6.0,4339.654907226562,532.8,KAPA OIL REFINERIES LTD,2025-09-28,723.2758178710936,190.47581787109368,3.4639339820012474,True
FEDHA,440097,3513531839864,KAP RINA VEGETABLE OIL 5L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,30.0,31008.59924316406,1261.19,KAPA OIL REFINERIES LTD,2025-09-22,1033.6199747721353,-227.5700252278648,-4.142178064664782,True
FEDHA,440205,8780224770573,GAK PIKA VEG OIL 10L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,1.0,2310.343994140625,2744.61,GOLDEN AFRICA KENYA LIMITED,2025-09-24,2310.343994140625,-434.2660058593751,-7.902896689743,True
FEDHA,440286,8749236515571,DFL SANTA MARIA E/VIRGIN OLIVE OIL 1L,FOODS,COOKING OILS AND FATS,OLIVE OIL,OLIVE OIL EXTRA VIRGIN,1.0,1806.034057617188,1984.15,DEBENHAM &  FEAR LTD,2025-09-27,1806.034057617188,-178.11594238281214,-3.2423884805938963,True
FEDHA,536839,4924631909184,HC-CPK STA SOFT ULTRA OCEAN FRESH 1LTR,HOMECARE,SOAPS AND DETERGENTS,FABRIC SOFTENER,CONCENTRATE,1.0,688.7930908203125,869.08,COLGATE PALMOLIVE (EA) LTD,2025-09-23,688.7930908203125,-180.28690917968754,-3.2818880163008384,True
FEDHA,546564,1628021504606,HC-UNI-OMO BLEACH REGULAR+CLRS 700ML,HOMECARE,SOAPS AND DETERGENTS,BLEACH,REGULAR,1.0,636.206787109375,455.54,UNILEVER KENYA LIMITED,2025-09-22,636.206787109375,180.66678710937498,3.285464112549238,True
FEDHA,600299,134819149256,HC-UNI SUNLIGHT DESTINY 3.5KG PKT PINK,HOMECARE,SOAPS AND DETERGENTS,HAND WASH DETERGENT,HAND WASH POWDER,1.0,1060.343994140625,761.21,UNILEVER KENYA LIMITED,2025-09-23,1060.343994140625,299.13399414062496,5.440909180141907,True
FEDHA,600352,4715528628054,HC- GBK PERSIL MACHINE WASH 3KG(REG),HOMECARE,SOAPS AND DETERGENTS,MACHINE WASH DETERGENT,MACHINE WASH POWDER,1.0,1723.275024414062,1531.26,GREENBELT DISTRIBUTORS LIMITED,2025-09-24,1723.275024414062,192.01502441406205,3.4919389905955023,True
FEDHA,601088,2470236702130,HC-GDL PERSIL MACHINE GEL REGULAR 3L,HOMECARE,SOAPS AND DETERGENTS,MACHINE WASH DETERGENT,MACHINE WASH LIQUID,1.0,1895.68896484375,2178.35,GREENBELT DISTRIBUTORS LIMITED,2025-09-27,1895.68896484375,-282.6610351562499,-5.144528407806687,True
FEDHA,675714,7088775748808,HC-EZEE ALL PURPOSE WASHING LIQUID 5 LTR,HOMECARE,CLEANERS & POLISH,SURFACE CARE & PROTECTION,MULTIPURPOSE CLEANER,1.0,581.896484375,750.07,VIVEK INVESTMENTS LIMITED,2025-09-28,581.896484375,-168.17351562500005,-3.061491545044682,True
FEDHA,675926,7502264807778,HC-SUNLIGHT AUTO POWDER LAVENDER 1.5KG,HOMECARE,SOAPS AND DETERGENTS,MACHINE WASH DETERGENT,MACHINE WASH POWDER,1.0,629.310302734375,805.87,UNILEVER KENYA LIMITED,2025-09-25,629.310302734375,-176.559697265625,-3.2140734646003026,True
FEDHA,686078,643019181827,PC-VPL-MACROCARE PANTS XXL 10S,PERSONAL CARE,DIAPERS AND WIPES,ADULT DIAPERS,ADULT DIAPER PANTS,1.0,1068.0,755.39,VIRTUELLE PRODUCTS LTD,2025-09-28,1068.0,312.61,5.686097625859023,True
FEDHA,980877,1810403013874,HC-JIK COLORS+JIK REGULAR 1.5L SAVE300,HOMECARE,SOAPS AND DETERGENTS,BLEACH,VALUE PACK,1.0,1405.171997070312,1008.33,TOWFIQ (K) LIMITED,2025-09-26,1405.171997070312,396.841997070312,7.218652053100579,True
UTAWALA MAIN,230039,5450402759454,PC-HKL-PAMPERS JUNIOR UNISEX JP 3*48,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,1895.68896484375,1411.49,HASBAH KENYA LTD,2025-09-22,1895.68896484375,484.19896484375,8.808063587530015,True
UTAWALA MAIN,230146,9205284453879,PC-KIM HUGGIES DRY COMFORT SIZE5 30S,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,861.206787109375,666.66,KIM-FAY EAST AFRICA LIMITED,2025-09-23,861.206787109375,194.54678710937503,3.5380030073869846,True
UTAWALA MAIN,230253,2421005412380,PC-HKL-PAMPERS PANTS MAXIÂ  UNISEX 4*26,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER PANTS,1.0,990.5172119140625,737.9,HASBAH KENYA LTD,2025-09-23,990.5172119140625,252.61721191406252,4.594562150249677,True
UTAWALA MAIN,230297,9251594932886,PC-HKL-PAMPERS PANTS JR U/SEX JP3*48-SZ6,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER PANTS,1.0,1895.68896484375,1374.39,HASBAH KENYA LTD,2025-09-28,1895.68896484375,521.2989648437499,9.483077492319666,True
UTAWALA MAIN,230357,1980429938932,PC-HML SOFTCARE  GOLD H/COUNT MAXI L40,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,956.034423828125,1166.26,SOFTCARE KENYA LIMITED,2025-09-22,956.034423828125,-210.225576171875,-3.8266054424623874,True
UTAWALA MAIN,230371,4112164306832,PC-HML SOFTCARE PREMIUMJUMBOSMALLS80/S68,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,1353.447998046875,1070.43,SOFTCARE KENYA LIMITED,2025-09-23,1353.447998046875,283.01799804687494,5.147687577640102,True
UTAWALA MAIN,230410,8531385451393,PC-MOLFIX PANTS JUNIOR52+2*3 JUMBO KE9.1,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER PANTS,1.0,1550.862060546875,1732.03,HAYAT KIMYA KENYA HYGIENIC PRODUCTS LIMITED,2025-09-25,1550.862060546875,-181.16793945312497,-3.2979178730423717,True
